,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
ERG5,12.33161842,12.17652562,12.12914127,12.46498942,12.8741,9.5486,12.4707,10.1926,12.7558,10.3085,9.2013,8.5815,13.1359,12.2556,11.6222
ERG6,14.06485664,14.07933421,14.01850345,14.15010504,10.5752,9.101,10.6809,10.5772,14.536,10.7547,8.9509,7.6429,10.1803,9.3369,8.7529
ERG7,10.96089081,11.07388091,11.30594133,11.16778327,2.0882,2.3351,2.0088,2.3359,2.6784,1.3715,1.2514,1.7705,1.8688,1.7495,2.4089
ERG8,13.36777798,13.36555899,13.46925228,13.27087803,3.0646,2.6958,2.8845,2.4352,3.073,2.1356,2.1099,2.419,2.8195,2.5728,2.8882
ERG9,14.45984137,14.32185408,14.36047615,14.43244969,8.6023,9.1542,8.977,10.4654,8.7402,9.5201,8.5916,9.954,10.0042,10.6796,10.6803
ERS1,11.55941387,11.41357283,11.91605745,11.33718583,1.0334,0.8572,0.8682,0.7101,0.7648,0.8437,0.9808,0.8706,0.9867,0.9452,1.0023
ERV1,12.25788058,12.1889084,12.33571989,12.27816925,3.0074,3.885,3.8767,4.0972,4.4213,6.5931,7.0494,4.7236,3.7655,3.8947,3.3332
ERV14,14.18603773,14.17696166,14.32322061,14.00575677,6.7014,6.0268,6.7717,6.0275,5.8766,7.8796,8.4631,5.3745,6.728,6.3214,5.3653
ERV25,14.32173187,14.41193755,14.39966179,14.3974786,11.4381,12.4078,11.0434,10.1672,8.5046,8.954,9.8454,10.1679,11.3679,11.699,11.0026
ESC1,12.67204657,12.679647,12.48123687,12.67547112,1.5779,1.5743,1.2916,1.7727,1.7268,1.3398,1.309,2.3704,1.7737,1.4439,2.1876
ESF1,11.40475304,11.64113205,11.34502989,11.01832783,2.0985,2.2733,1.1743,1.1993,0.9547,0.7283,0.8848,1.0502,1.4125,1.6402,1.7121
ESF2,6.761980166,7.380049245,6.857531847,6.977660887,2.389,2.2326,1.365,1.4476,1.2017,1.0792,1.232,1.8107,1.8936,2.6843,2.8934
ETR1,13.5713705,13.42280681,13.4525341,13.41655951,2.4928,5.9908,9.9926,8.5836,11.2825,15.8026,16.5805,7.0656,4.7508,2.1887,2.3518
EXG2,11.24917633,11.20068876,11.17058557,11.29925044,0.3562,0.4219,0.3451,0.4237,0.4795,0.4592,0.5186,0.609,0.5065,0.4163,0.3761
EXO1,10.76739785,11.00988716,10.65404358,10.71147935,0.6978,0.6836,0.6589,0.6898,1.0672,0.5793,0.4883,0.4043,0.7547,0.6115,0.6038
FAB1,12.21701576,12.1649251,12.14675096,12.37485708,1.0005,1.0957,0.7349,0.9463,1.3395,0.9962,1.0085,0.7727,0.9565,0.6392,0.8603
FAP1,9.92761694,10.06805479,9.898820658,10.0130209,0.5944,0.6871,0.4802,0.6312,0.8915,0.6015,0.6214,0.6949,0.7733,0.6078,0.7712
FAS1,14.51106276,14.51358489,14.5186936,14.50011715,10.7468,12.5591,10.6628,11.3731,12.389,9.3258,8.659,11.8464,12.3172,10.2813,12.6398
FAS2,14.63713071,14.73218238,14.58657937,14.55369868,7.9392,8.9269,7.4399,7.8438,8.9515,6.7938,6.4603,9.2422,9.333,7.4064,10.0453
FBP1,10.60204875,9.6135203,11.04950764,10.67882728,0.2393,0.2735,0.3173,0.2736,0.3328,0.4249,0.5843,0.3263,0.2259,0.1897,0.2747
FCP1,10.43056049,10.34313213,10.37146387,10.60578526,1.4804,1.3567,1.4387,1.2858,1.5522,1.4997,1.6544,1.1316,1.5236,1.2023,1.2476
FET4,11.10510959,11.4988689,11.38628411,11.24383811,0.3702,0.3933,0.2809,0.3944,0.3055,0.143,0.1782,0.2259,0.2537,0.3538,0.4023
FET5,13.00707256,12.84408276,12.79504656,12.74574265,4.8706,4.5746,4.1815,3.8669,2.8914,2.6456,3.5789,3.9852,3.8025,4.6676,4.6312
FIN1,11.64982492,11.51084929,11.53997708,11.78781086,1.9843,2.3667,1.5125,1.6546,1.4837,0.9348,1.0525,1.656,1.672,1.3769,1.8711
FIP1,11.20538346,11.31254044,11.19829028,11.64257307,3.292,0.8684,1.1131,0.8378,1.9523,2.7669,3.7911,1.0575,1.0658,0.7118,1.5462
FIS1,13.82108094,13.76751865,13.77227131,13.76283734,1.7069,1.735,1.8141,1.7788,1.99,2.3912,2.8016,2.3243,2.3339,2.0775,1.9033
FKH1,7.95581381,7.591190862,7.641518658,8.213746798,17.8721,17.6576,18.1842,19.3868,19.8305,19.9671,18.6477,21.6844,19.9666,20.7587,20.1845
