ID,adj.P.Val,P.Value,t,B,logFC,Gene Symbol
1779747_at,0.482294835488969,0.118940756006842,-1.80395161946881,-8.9075369721024,-0.1349330225,NRT1
1771644_at,0.482317255873934,0.118992402227772,-1.80364380277553,-8.90796122002636,-0.0760181274999994,HRT1
1775392_at,0.482317255873934,0.119159139015454,-1.80265092505621,-8.90932949492839,-0.11950828,YPI1
1772947_at,0.482317255873934,0.119164334351797,1.80262000988368,-8.9093720949586,0.139557532499998,RPL20B
1780041_at,0.482317255873934,0.119287352635979,-1.80188836643859,-8.91038020598265,-0.0264369775000013,EGD1
1776514_at,0.482317255873934,0.11928956023819,1.80187524359881,-8.91039828638199,0.227754853499997,SWC5
1775468_at,0.482317255873934,0.119297736048575,1.80182664549202,-8.91046524356349,0.1201050775,NHP2
1771700_at,0.482317255873934,0.119299372495172,-1.80181691862614,-8.91047864491175,-0.139986247499998,FPK1
1769358_at,0.483054356724285,0.119529756132882,1.80044884182966,-8.91236330437523,0.13564571,SAL1
1774844_at,0.483054356724285,0.119570098365592,1.8002095444044,-8.91269291283987,0.117689692500001,PRO2
1769819_at,0.483909372280103,0.119826021357061,-1.79869332415239,-8.91478102908938,-0.0633838649999987,SNF8
1776248_at,0.484142976954987,0.119928169712404,-1.79808902729897,-8.91561310029886,-0.238699897500002,XDJ1
1772608_at,0.484238673998328,0.120004489623277,-1.79763785622859,-8.91623427020922,-0.336751254,PRM3
1776909_at,0.484238673998328,0.120084810261298,1.79716333702186,-8.9168875315641,0.388335385000001,UTP20
1769890_at,0.484894074828916,0.120358514844181,1.79554866564326,-8.91911000172982,0.312023267499999,RRB1
1772073_at,0.484894074828916,0.120380456168636,-1.79541938193984,-8.91928792286355,-0.0654584899999993,OXR1
1777964_at,0.485336449191753,0.120534692817205,-1.79451123006445,-8.92053761111847,-0.0707020125,CTI6
1778279_at,0.485571801749144,0.120682010756833,-1.79364487416977,-8.92172959418916,-0.155460747500001,TSC10
1776422_at,0.486052039950028,0.120845844852144,-1.79268260030616,-8.92305332822637,-0.167927775000001,ATG22
1773910_at,0.487372597567401,0.121218770148993,1.79049697389251,-8.9260590874747,0.143120447499999,MRS5
1770342_at,0.488479185740984,0.12153869930726,-1.78862716559304,-8.92862957387158,-0.141339072499997,SEC8
1770383_at,0.488526047741828,0.121595063127541,1.78829824771746,-8.929081657386,0.0952745300000011,SPE3
1774347_at,0.489000128895096,0.121802557728079,1.78708866753808,-8.93074393981488,0.132901765,IKI3
1770742_at,0.48977872083632,0.122086130633065,-1.78543883692119,-8.93301064902215,-0.159203525000001,YSP3
1777218_at,0.491133663594146,0.12246881710231,1.78321827357341,-8.93606040554785,0.485931682249999,RPI1
1771139_at,0.491709242686585,0.122716745279398,-1.7817832600739,-8.9380306112514,-0.165129649999997,BET1
1776414_at,0.491709242686585,0.122717545680635,-1.78177863191001,-8.9380369646559,-0.1530890475,ICT1
1776686_at,0.491709242686585,0.122747329250458,1.78160643513333,-8.93827334735428,0.106062680000001,ISM1
1771108_at,0.491818542476392,0.122819619547774,1.78118865055023,-8.93884682877388,0.13058796,EPT1
1780215_at,0.492442460331881,0.123020490181738,-1.78002902263782,-8.94043838537916,-0.0835702049999973,ROM1
