,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
BEAN1,0.10993844,0.10993844,0.10326086,0.0626186,0.40276498,0.4555354,0.37961337,0.08745248,0.11759657,0.13661636
BECN1,15.4397545,15.4397545,17.455616,18.542694,19.980644,17.353903,21.55536,22.004753,21.53133,16.627481
BEST1,1.514512,1.514512,1.0380434,1.6612904,1.59447,1.46098,0.6493849,0.24524716,0.15536481,0.16123907
BET1,1.141161,1.141161,1.38632243,1.598671815,1.3654378,1.59755004,1.14279434,1.19391646,1.161802585,1.30182681
BEX4,2.2972736,2.2972736,3.3197463,2.6233397,2.5354838,2.2558985,1.814587,2.2224336,1.4652361,1.6648134
BFSP1,0.26649076,0.26649076,0.059782606,0.30075902,0.057142854,0.08983666,0.24165201,0.080798484,0.25236052,0.45750594
BFSP2,0.871005586666667,0.871005586666667,0.965881635333333,1.22485768733333,0.785253425333333,0.886267439,0.951669569,0.971482942333333,1.04749642333333,0.425469940666667
BGLAP /// PMF1,1.2726474,1.2726474,1.0172101,0.9914611,1.4230415,0.71324867,1.0834798,1.0960077,1.2128756,0.7283558
BGN,6.560247,6.560247,8.934783,8.529412,7.921659,7.8847556,7.4288225,9.120723,8.591416,6.797458
BHLHE40,1.3148637,1.3148637,1.8152173,1.2134725,1.4967741,2.3112524,1.3031634,1.5893537,1.4463519,1.3121525
